Título,Semilla,Estado,Frecuencia,Tamaño,Palabras_clave,Materia
"CEIP Padre Manjón (Benahadux, Almería)",http://ceippadremanjonbenahadux.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP (La Picota, Berrocal, Huelva)",http://ceip-picota.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Pintor Cristóbal Ruiz (Villacarrillo, Jaén)",http://ceippintorcristobalruiz.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
CEIP Pío XII (Sevilla),http://ceippiodoce.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Quinta de la Paz (Sanlúcar de Barrameda, Cádiz)",http://ceipquintadelapaz.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Ntra. Sra. Reina de los Ángeles (Jimena de la Frontera, Cádiz)",http://ceipreinadelosangeles.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Reina María Cristina (Isla Cristina, Huelva)",http://ceipreinamariacristina.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP El Retamal (Moclín, Granada)",http://ceipretamal.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
CEIP Reyes Católicos (Granada),http://ceipreyescatolicosgranada.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Los Ríos (Castillejar, Granada)",http://ceiprios.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Romero Robledo (Antequera, Málaga)",http://ceipromerorobledo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Ntra. Sra. del Rosario (Macael, Almería)",http://ceiprosariomacael.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Ruperto Fernández Tenllado (Rute, Córdoba)",http://ceipruperto.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEPR Salvador Rueda (Macharaviaya, Málaga)",http://ceipruralsalvadorrueda.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Sagrado Corazón de Jesús (Torre-Alháquime, Cádiz)",http://ceipsagradocorazondejesus.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Sagrado Corazón de Jesús (Alhendín, Granada)",http://ceipsagradocorazondejesusalhendin.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Sagrado Corazón de Jesús (Tíjola, Almería)",http://ceipsagradocorazontijola.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP San Amador (Martos, Jaén)",http://ceipsanamador.blogspot.com/?m=1,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP San Fernando (Adra, Almería)",http://ceipsanfernandoadra.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP San Francisco (Loja, Granada)",http://ceipsanfranciscoloja04.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP San Gregorio Osset (Alcalá del Río, Sevilla)",http://ceipsangregorio.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Sevilla,Educación
"CEIP San Isidro Labrador (Cuevas del Campo, Granada)",http://ceipsanisidrodecuevas.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP San Isidro Labrador (Puente de Génave, Jaén)",http://ceipsanisidrolabrador.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP San José de Calasanz (Calañas, Huelva)",http://ceipsanjosedecalasanz.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Huelva,Educación
"CEIP San José (Orce, Granada)",http://ceipsanjosedeorce.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP San Juan Bautista (Jabugo, Huelva)",http://ceipsanjuanrepilado.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP San Matías (Villanueva de los Castillejos, Huelva)",http://ceip-sanmatiasinfo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP San Miguel (Alcaudete, Jaén)",http://ceip-sanmiguel.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP San Roque (Felix, Almería)",http://ceipsanroquedefelix.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP San Sebastián (Padul, Granada)",http://ceipsansebastianpadul.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
CEIP Santa Isabel (Almería),http://ceipsantaisabel.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
CEIP Santa Juliana (Granada),http://ceipsantajuliana.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Santa María Magdalena (Mengíbar, Jaén)",http://ceipsantamariamagdalena.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Santa Teresa (Mairena del Aljarafe, Sevilla)",http://ceipsantateresa1954.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
CEIP Santa Teresa (Cádiz),http://ceipsantateresadecadiz.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Santo Tomás de Aquino (Montoro, Córdoba)",http://ceipsantotomasdeaquinomontoro.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Sebastián Urbano Vázquez (Isla Cristina, Huelva)",http://ceipsebastianurbanovazquez.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP Sierra Nevada (Granada),http://ceipsierranevada.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Sierra Nevada (Güéjar Sierra, Granada)",http://ceipsierranevadaguejarsierra.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Santiago Apóstol (El Colmenar, Málaga)",http://ceipssantiagoapostol.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
CEIP Profesor Tierno Galván (Málaga),http://ceiptiernogalvanmalaga.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Nuestra Señora de las Nieves (Trevélez, Granada)",http://ceiptrevelez.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Trinidad Martínez (Roquetas de Mar, Almería)",http://ceiptrinidadmartinez.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Valdeolletas (Marbella, Málaga)",http://ceipvaldeolletasmarbella.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Vallesequillo (Jerez de la Frontera, Cádiz)",http://ceipvallesequillo.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Nuestra Señora de las Veredas (Guadalema de los Quintero, Sevilla)",http://ceipveredas.weebly.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Vicenta Tarín (Arcos de la Frontera, Cádiz)",http://ceipvicentatarin.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Administración
"CEIP Virgen de las Cruces (El Guijo, Córdoba)",http://ceipvirgencruces.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Córdoba,Educación
"CEIP Virgen de Andévalo (Cerro del Andévalo, Huelva)",http://ceipvirgendeandevalo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Virgen de la Cabeza (Cazorla, Jaén)",http://ceipvirgendelacabeza.blogspot.com/?m=1,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Virgen del Carmen (Alcaudete, Jaén)",http://ceipvirgendelcarmenalcaudete.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Virgen del Carmen (Gualchos, Granada)",http://ceipvirgendelcarmen-tic.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
CEIP Virgen del Mar (Almería),http://ceipvirgendelmarcabodegata.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Virgen del Saliente (Albox, Almería)",http://ceipvirgendelsaliente.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Almería,Educación
"CEIP Virgen de Guadalupe (Úbeda, Jaén)",http://ceipvirgenguadalupe.es/index.php/es/,Inactiva,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Virgen de Luna (Escacena del Campo, Huelva)",http://ceipvirgenluna.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Virgen de Luna (Pozoblanco, Córdoba)",http://ceipvirlu.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Clara Campoamor (Huércal de Almería, Almería)",http://ceipzonalospinos.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
CEIP Zurbarán (Sevilla),http://ceipzurbaran.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Miguel Hernández (Arroyo de la Miel, Málaga)",http://centromiguelhernandez.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
CEPR Buenavista (Sevilla),http://ceprbuenavistasevilla.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
Cerrado por Obra  (Sevilla),http://cerradoporobra.blogspot.com,Activa,Anual,Mediano,Teatro / Compañías teatrales / Sevilla,Arte
"CEIP Cerro de San Juan (Coria del Río, Sevilla)",http://cerrosanjuan.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Miguel de Cervantes (Olvera, Cádiz)",http://cervantesdeolvera.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Cerveza Sacromonte (Monachil, Granada)",http://cervezasacromonte.com,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Granada,Bebidas
"Cervezas Origen 1905 (Huércal de Almería, Almería)",http://cervezasorigen.com,Inactiva,Anual,Mediano,Cerveza / Industria de las bebidas / Almería,Bebidas
Ayuntamiento de Churriana de la Vega,http://churrianadelavega.org,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Granada,Administración
CEIP Ciudad de Mobile (Málaga),http://ciudaddemobile.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"IES Cardenal Cisneros (Albox, Almería)",http://cms3.iesalbox.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
Ilustre Colegio de Administradores de Fincas de Huelva,http://coafhuelva.com,Activa,Semestral,Pequeno,Economía / Vivienda / Administradores de Fincas / Asociaciones / Huelva,Economía
Agrupación de Cofradías y Hermandades de la Ciudad de Jaén,http://cofradiasjaen.org,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Jaén,Religión
"CEIP Lope de Vega (Coín, Málaga)",http://coinlopedevega.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Albarracín (El Bosque, Cádiz)",http://colealbarracin.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Cádiz,Educación
"CEIP Los Argonautas (Chipiona, Cádiz)",http://coleargonautas.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP los Valles (Quesada, Jaén)",http://colecollejares.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Isabel la Católica (La Zubia, Granada)",http://colecorvales.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP San José de Calasanz (Zagra, Granada)",http://coledezagra.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Guadalquivir (La Rinconada, Sevilla)",http://colegio.ceipguadalquivirlarinconada.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Infanta Cristina (Albondón, Granada)",http://colegioalbondon.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
CEIP Alegría de la huerta (Málaga),http://colegioalegriadelahuerta.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Málaga,Educación
CEIP Alfredo Molina Martín (Almería),http://colegioalfredomolinamartin.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
CEIP Algafequi (Córdoba),http://colegioalgafequi.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Andrés Manjón (Algarinejo, Granada)",http://colegioalgarinejo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEPR Almazara (Jubrique, Málaga)",http://colegioalmazara.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
CEIP Andalucía (Córdoba),http://colegioandaluciacordoba.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
CEIP Arrayanes (Granada),http://colegioarrayanesgranada.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Aurelio Sánchez (Peñarroya-Pueblonuevo, Córdoba)",http://colegioaureliosanchez.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Aurora Moreno (Gibraleón, Huelva)",http://colegioauroramoreno.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP José Sebastián y Bandarán (Sevilla),http://colegiobandaran.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Camacho Melendo (Priego de Córdoba, Córdoba)",http://colegiocamachomelendo.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Juan XXIII (Caniles, Granada)",http://colegiocaniles.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Carmen Arévalo (Villafranco del Guadalhorce, Málaga)",http://colegiocarmenarevalo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Maestra Carmen Sedofeito (Chiclana de la Frontera, Cádiz)",http://colegiocarmensedofeito.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Nuestra Señora del Águila (Sevilla),http://colegiocerroaguila.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Rogelio Arasil (CIjuela, Granada)",http://colegiocijuela.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP La Constitución (San Fernando, Cádiz)",http://colegioconstitucionsanfernando.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Virgen del Mar (Motril, Granada)",http://colegiodecalahonda.blogspot.com,Inactiva,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Los Silos (Jabugo, Huelva)",http://colegiodejabugo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Virgen del Carmen (Ayamonte, Huelva)",http://colegiodepuntadelmoral.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Castillo de Doña Blanca (El Puerto de Santa María, Cádiz)",http://colegiodonablanca.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Donadio (Úbeda, Jaén)",http://colegiodonadio.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
CEIP Juan Sebastián Elcano (Cádiz),http://colegioelcanosanfernando.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Isabel Rodríguez Navarro (Mairena del Alcor, Sevilla)",http://colegioelprior.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP El Puntal (Aljaraque, Huelva)",http://colegioelpuntal.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP El Tejar (Fuengirola, Málaga)",http://colegioeltejar.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Emilio Pérez Molina (Paymogo, Huelva)",http://colegioemilioperezmolina.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Huelva,Educación
CEIP Emilio Prados (Sevilla),http://colegio-emilioprados.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
CEIP Eugenia de Montijo (Granada),http://colegioeugeniademontijo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
CEIP Fermín Salvochea (Cádiz),http://colegioferminsalvochea.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Fray Bartolomé de las Casas (Sevilla),http://colegiofraybartolome.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Gil López (El Viso del Alcor, Sevilla)",http://colegiogillopez.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
